,RLbC1,RLbC2,RLbC3,RLbC4,RLbC5,RLbC6,RXsC1,RXsC2,RXsC3,RXsC4,RXsC5,RXsC6
Simkania,1,0,0,0,0,0,1,3,7,0,2,2
Dysgonomonas,0,0,0,0,0,0,4,10,0,0,0,1
Labedella,1,0,0,2,0,0,4,1,0,0,4,3
Lewinella,0,1,0,7,0,0,1,0,0,0,4,2
Singulisphaera,0,0,0,0,0,0,0,15,0,0,0,0
Alicyclobacillus,0,0,0,0,1,0,5,2,0,0,3,3
Blastococcus,3,1,0,0,2,1,4,0,0,0,0,3
Desulfonatronobacter,2,2,3,0,4,3,0,0,0,0,0,0
Angustibacter,0,0,2,0,0,0,2,0,1,3,5,0
Oscillochloris,0,0,0,0,0,0,4,0,0,5,4,0
Tetrasphaera,0,0,3,0,0,0,1,2,5,1,1,0
Formivibrio,0,0,0,0,0,0,1,3,1,3,4,0
Lacibacterium,3,1,1,0,0,0,4,3,0,0,0,0
Macrococcus,0,0,0,0,1,0,1,5,2,0,0,3
Moraxella,0,0,0,0,0,0,0,6,1,2,1,2
Parvibaculum,0,0,0,0,0,0,5,3,0,0,0,4
Pseudobacteroides,0,5,0,0,0,0,0,4,2,0,0,1
Variovorax,0,1,0,2,2,0,1,3,0,1,2,0
Azonexus,0,0,0,0,0,1,3,1,0,4,0,2
Pseudacidovorax,0,0,1,0,0,0,1,0,3,0,6,0
Sinomonas,0,0,0,0,0,0,1,2,3,1,0,4
Austwickia,0,0,0,0,2,0,4,3,0,0,0,1
Desulfomonile,0,0,2,0,0,0,4,2,0,1,0,1
Hyphomonas,0,0,0,2,0,0,3,0,0,3,0,2
Aquihabitans,0,0,0,1,3,0,0,0,0,3,1,1
Chromobacterium,0,1,0,0,0,0,4,1,0,1,2,0
Fluviicola,1,0,0,0,1,1,1,1,0,0,4,0
Kofleria,0,0,0,0,0,0,3,0,3,0,1,2
Methylobacillus,1,0,2,1,1,0,3,0,0,0,0,1
Nesterenkonia,0,0,0,0,0,0,6,0,0,0,2,1
Prolixibacter,0,0,0,0,0,0,5,3,0,1,0,0
Treponema,0,0,0,0,0,0,0,0,1,3,5,0
Azohydromonas,0,0,0,0,0,0,3,1,0,0,2,2
Ferrovibrio,0,0,0,1,0,0,0,1,0,0,6,0
Methylocapsa,0,0,0,0,1,0,3,0,1,0,2,1
Parasegetibacter,0,0,0,4,0,1,0,0,1,2,0,0
Sulfurisoma,0,0,0,1,0,0,3,3,0,0,1,0
Acidiphilium,0,1,0,0,1,0,3,0,0,0,0,2
Alkanindiges,0,0,0,0,0,0,2,3,1,1,0,0
Chlorobium,0,0,0,0,0,0,0,3,2,0,1,1
Fimbriimonas,0,0,0,0,0,0,1,2,1,0,1,2
Kaistia,0,0,0,0,0,0,3,2,1,0,1,0
Pedobacter,0,0,0,0,1,0,0,1,1,1,0,3
Stigmatella,1,0,0,0,0,0,3,1,0,1,0,1
Actinoallomurus,1,0,0,0,0,0,3,1,0,0,0,1
Cloacibacterium,0,0,0,0,0,0,2,0,2,1,1,0
Halomonas,0,0,0,0,0,0,1,0,2,0,1,2
Janthinobacterium,0,0,1,0,0,0,4,1,0,0,0,0
Kribbella,0,0,0,0,0,0,2,1,1,0,2,0
Oligoflexus,3,0,0,0,1,0,0,1,0,0,0,1
Sporosarcina,0,0,0,0,0,0,5,1,0,0,0,0
Sunxiuqinia,0,0,0,0,0,0,2,0,0,4,0,0
Fibrobacter,0,0,0,0,0,0,3,1,0,0,0,1
Giesbergeria,0,1,0,0,0,0,1,0,2,0,1,0
